YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2026-01,WEEKENDS/HOLIDAY,9,TRAIN,TE15,3294,5502
2026-01,WEEKENDS/HOLIDAY,8,TRAIN,CC25,2026,2105
2026-01,WEEKDAY,6,TRAIN,CC27,561,5442
2026-01,WEEKENDS/HOLIDAY,8,TRAIN,EW3,8399,3996
2026-01,WEEKDAY,22,TRAIN,EW20,4415,10932
2026-01,WEEKENDS/HOLIDAY,13,TRAIN,PE3,4157,3485
2026-01,WEEKDAY,18,TRAIN,TE16,22515,18192
2026-01,WEEKDAY,6,TRAIN,EW25,31648,6723
2026-01,WEEKENDS/HOLIDAY,15,TRAIN,CC4/DT15,12255,12489
2026-01,WEEKENDS/HOLIDAY,22,TRAIN,PW3,97,561
2026-01,WEEKDAY,19,TRAIN,CC4/DT15,44232,18946
2026-01,WEEKENDS/HOLIDAY,23,TRAIN,PE1,184,1205
2026-01,WEEKENDS/HOLIDAY,12,TRAIN,EW21/CC22,11292,9303
2026-01,WEEKENDS/HOLIDAY,23,TRAIN,BP6/DT1,1845,10889
2026-01,WEEKDAY,5,TRAIN,EW27,20494,5443
2026-01,WEEKDAY,13,TRAIN,SW4,2698,4026
2026-01,WEEKENDS/HOLIDAY,9,TRAIN,SW4,2096,796
2026-01,WEEKENDS/HOLIDAY,7,TRAIN,EW32,3109,7252
2026-01,WEEKDAY,11,TRAIN,SW3,2261,1382
2026-01,WEEKENDS/HOLIDAY,13,TRAIN,CG2,15017,15563
2026-01,WEEKENDS/HOLIDAY,17,TRAIN,DT30,4554,4756
2026-01,WEEKENDS/HOLIDAY,11,TRAIN,DT17,2196,2541
2026-01,WEEKENDS/HOLIDAY,16,TRAIN,EW22,3868,3458
2026-01,WEEKENDS/HOLIDAY,12,TRAIN,EW5,19602,15127
2026-01,WEEKENDS/HOLIDAY,17,TRAIN,SE1,2270,2298
2026-01,WEEKENDS/HOLIDAY,6,TRAIN,SW4,760,224
2026-01,WEEKENDS/HOLIDAY,22,TRAIN,CC20,540,1491
2026-01,WEEKENDS/HOLIDAY,17,TRAIN,EW30,4072,1039
2026-01,WEEKENDS/HOLIDAY,17,TRAIN,SE5,1462,1443
2026-01,WEEKENDS/HOLIDAY,23,TRAIN,TE25,220,406
2026-01,WEEKDAY,7,TRAIN,TE18,2845,9615
2026-01,WEEKENDS/HOLIDAY,7,TRAIN,BP11,1612,394
2026-01,WEEKENDS/HOLIDAY,20,TRAIN,SW7,557,1511
2026-01,WEEKDAY,0,TRAIN,CC26,5,92
2026-01,WEEKDAY,15,TRAIN,NE9,21542,18899
2026-01,WEEKENDS/HOLIDAY,17,TRAIN,CG2,16978,13827
2026-01,WEEKENDS/HOLIDAY,22,TRAIN,TE25,470,931
2026-01,WEEKENDS/HOLIDAY,9,TRAIN,PE5,4284,1242
2026-01,WEEKDAY,7,TRAIN,NE1/CC29,19330,64080
2026-01,WEEKDAY,14,TRAIN,NS3,15724,18605
2026-01,WEEKENDS/HOLIDAY,7,TRAIN,CC11,3742,6432
2026-01,WEEKENDS/HOLIDAY,8,TRAIN,DT27,3632,4129
2026-01,WEEKDAY,16,TRAIN,TE14/NS22,87419,71061
2026-01,WEEKDAY,13,TRAIN,TE23,2231,2582
2026-01,WEEKENDS/HOLIDAY,9,TRAIN,CC21,3262,6109
2026-01,WEEKENDS/HOLIDAY,7,TRAIN,SE4,1318,767
2026-01,WEEKENDS/HOLIDAY,6,TRAIN,EW26,13956,5633
2026-01,WEEKENDS/HOLIDAY,7,TRAIN,NS27/CE2/TE20,570,841
2026-01,WEEKDAY,22,TRAIN,TE4,3401,3529
2026-01,WEEKDAY,20,TRAIN,EW1,15432,47235
2026-01,WEEKENDS/HOLIDAY,22,TRAIN,SE1,566,2459
2026-01,WEEKENDS/HOLIDAY,19,TRAIN,EW27,24567,36732
2026-01,WEEKDAY,5,TRAIN,DT2,188,64
2026-01,WEEKDAY,13,TRAIN,BP9,3107,3060
2026-01,WEEKENDS/HOLIDAY,10,TRAIN,DT24,2898,1410
2026-01,WEEKENDS/HOLIDAY,21,TRAIN,TE27,1068,3348
2026-01,WEEKENDS/HOLIDAY,12,TRAIN,CC11,7131,6258
2026-01,WEEKENDS/HOLIDAY,0,TRAIN,DT18,154,93
2026-01,WEEKDAY,20,TRAIN,DT3,2955,10585
2026-01,WEEKDAY,8,TRAIN,PE6,15497,7108
2026-01,WEEKENDS/HOLIDAY,7,TRAIN,CC10/DT26,5541,3369
2026-01,WEEKDAY,11,TRAIN,TE22,1486,4622
2026-01,WEEKDAY,15,TRAIN,TE15,9151,11866
2026-01,WEEKENDS/HOLIDAY,19,TRAIN,EW22,2222,3161
2026-01,WEEKDAY,9,TRAIN,EW4,23435,10688
2026-01,WEEKDAY,10,TRAIN,BP3,4273,1334
2026-01,WEEKENDS/HOLIDAY,22,TRAIN,CC21,5067,2363
2026-01,WEEKENDS/HOLIDAY,11,TRAIN,EW14/NS26,9686,15550
2026-01,WEEKDAY,17,TRAIN,SW5,9673,12711
2026-01,WEEKDAY,8,TRAIN,TE12,7664,23823
2026-01,WEEKDAY,14,TRAIN,NE7/DT12,26266,30090
2026-01,WEEKDAY,23,TRAIN,CC20,364,1293
2026-01,WEEKDAY,15,TRAIN,CE1/DT16,32117,28050
2026-01,WEEKENDS/HOLIDAY,7,TRAIN,DT24,2656,1155
2026-01,WEEKENDS/HOLIDAY,5,TRAIN,CC2,29,4
2026-01,WEEKDAY,10,TRAIN,NE18,8721,16604
2026-01,WEEKENDS/HOLIDAY,8,TRAIN,DT21,1659,3814
2026-01,WEEKDAY,19,TRAIN,EW6,9246,30587
2026-01,WEEKENDS/HOLIDAY,9,TRAIN,NE9,14310,8907
2026-01,WEEKENDS/HOLIDAY,7,TRAIN,CC8,1468,1738
2026-01,WEEKDAY,0,TRAIN,EW10,86,574
2026-01,WEEKDAY,5,TRAIN,PE3,1786,299
2026-01,WEEKENDS/HOLIDAY,18,TRAIN,BP2,1043,1272
2026-01,WEEKDAY,23,TRAIN,CC21,2956,1941
2026-01,WEEKDAY,9,TRAIN,CC27,1235,49043
2026-01,WEEKDAY,23,TRAIN,TE6,1132,8975
2026-01,WEEKDAY,5,TRAIN,EW16/NE3/TE17,1761,257
2026-01,WEEKDAY,23,TRAIN,CC16,890,2007
2026-01,WEEKDAY,12,TRAIN,TE4,4493,3892
2026-01,WEEKDAY,9,TRAIN,BP3,6214,1570
2026-01,WEEKENDS/HOLIDAY,0,TRAIN,NS15,139,650
2026-01,WEEKDAY,20,TRAIN,PW1,2232,725
2026-01,WEEKENDS/HOLIDAY,13,TRAIN,EW20,7054,5912
2026-01,WEEKENDS/HOLIDAY,13,TRAIN,NE17/PTC,28086,25584
2026-01,WEEKDAY,13,TRAIN,CC2,4532,7216
2026-01,WEEKDAY,9,TRAIN,SE1,7501,2283
2026-01,WEEKDAY,15,TRAIN,CC27,5754,2332
2026-01,WEEKDAY,14,TRAIN,EW20,12125,10822
2026-01,WEEKENDS/HOLIDAY,5,TRAIN,BP7,197,65
2026-01,WEEKENDS/HOLIDAY,14,TRAIN,SW3,1010,1163
2026-01,WEEKENDS/HOLIDAY,9,TRAIN,NS3,12642,7561
2026-01,WEEKDAY,5,TRAIN,NE17/PTC,9748,2113
2026-01,WEEKENDS/HOLIDAY,14,TRAIN,EW7,7326,7553
2026-01,WEEKDAY,7,TRAIN,NS12,89658,22671
2026-01,WEEKENDS/HOLIDAY,11,TRAIN,CC23,2219,1973
2026-01,WEEKDAY,17,TRAIN,NS24/NE6/CC1,67212,45251
2026-01,WEEKDAY,17,TRAIN,DT10,7529,5985
2026-01,WEEKENDS/HOLIDAY,0,TRAIN,PW3,14,63
2026-01,WEEKDAY,17,TRAIN,NS8,31912,34629
2026-01,WEEKDAY,10,TRAIN,DT23,2431,5877
2026-01,WEEKENDS/HOLIDAY,10,TRAIN,NS11,24177,11447
2026-01,WEEKDAY,19,TRAIN,NE5,35709,18253
2026-01,WEEKDAY,16,TRAIN,TE19,17320,4328
2026-01,WEEKENDS/HOLIDAY,18,TRAIN,NE15,11091,15561
2026-01,WEEKENDS/HOLIDAY,5,TRAIN,TE1,319,52
2026-01,WEEKDAY,8,TRAIN,CC14,21388,23532
2026-01,WEEKDAY,10,TRAIN,TE16,8778,5643
2026-01,WEEKDAY,6,TRAIN,NS7,64071,15925
2026-01,WEEKENDS/HOLIDAY,6,TRAIN,DT28,3937,2106
2026-01,WEEKENDS/HOLIDAY,13,TRAIN,TE26,10075,9321
